question,text,label
Does the company describe its processes for managing climate-related risks?,"Another instrument is the yearly Top Risk Assessment with the goal to identify and remediate significant threats to financial results, operational viability, reputation and the delivery of key strategic objectives, regardless of whether they can be quantified or not. Climate-related factors are included in Top Risk Assessments conducted both on the level of operating entities as well as the Group. For more details on these risk management processes please see the Risk and Opportunity Report on page 76-92. of the Allianz Group Annual Report 2019.",Risk Management b)
Does the company describe its processes for managing climate-related risks?,"Climate-related risks are addressed as part of an overarching qualitative and quantitative risk reporting and controlling framework. Early-warning indicators are monitored and regularly reported to senior management through risk dashboards, risk capital allocation and limit consumption reports, where climate aspects become material. Supplemented by quarterly updates, senior management decides on a risk management strategy and related actions.",Risk Management b)
Does the company describe its processes for managing climate-related risks?,"One key tool is the Allianz Risk Capital Model, which amongst others, assesses natural catastrophe events for the upcoming year on subsidiary and Group level.",Risk Management b)
Does the company describe its processes for managing climate-related risks?,"As an additional layer, building on the explanations in the Governance chapter, the Climate Integration team within the Corporate Responsibility department as well as the ESG Task Forces work on early identification, measurement and business integration of risks as well as of opportunities arising from physical climate change and the low-carbon transition.",Risk Management b)
Does the company describe its processes for managing climate-related risks?,"Experts at Allianz Reinsurance – including meteorologists, hydrologists, geophysicists, geographers and mathematicians – model around 50 natural catastrophe scenarios for Allianz Group, with data captured using best-in-class standards, mapping a range of perils and regions.",Risk Management b)
Does the company describe the targets it uses to manage climate-related risks or opportunities?,"In the first half of 2019, we ran pilot portfolios on climate-related target-setting and steering which allowed us to identify data gaps, derive monitoring and steering approaches and metrics as well as potential investment management actions.",Metrics and Targets c)
Does the company describe the targets it uses to manage climate-related risks or opportunities?,"Actively contributed to setting up the UN-convened Net-Zero Asset Owner Alliance, a group of asset owners committed to reduce the GHG emissions of their investment portfolios to net-zero by 2050, consistent with a maximum temperature rise of 1.5°C.",Metrics and Targets c)
Does the company describe the targets it uses to manage climate-related risks or opportunities?,Set long-term and intermediary climate targets for our proprietary investments and business operations in 2020 in line with the Paris Climate Agreement’s goal to limit global warming to 1.5°C.,Metrics and Targets c)
Does the company describe the targets it uses to manage climate-related risks or opportunities?,Reduce GHG emissions of proprietary investment portfolio to net-zero by 2050.,Metrics and Targets c)
Does the company describe the targets it uses to manage climate-related risks or opportunities?,"In 2020, we will develop our next set of environmental targets up until 2025.",Metrics and Targets c)
Does the company describe the board’s or a board committee’s oversight of climate-related risks or opportunities?,"The Group ESG Board is the highest governing body for sustainability issues, such as climate change, and oversees the Allianz Group Climate Change Strategy.",Governance a)
Does the company describe the board’s or a board committee’s oversight of climate-related risks or opportunities?,"It consists of three members of the Allianz SE Board of Management (BoM), meets quarterly, and informs the BoM on relevant topics and activities at least twice a year.",Governance a)
Does the company describe the board’s or a board committee’s oversight of climate-related risks or opportunities?,"The Group Finance and Risk Committee (GFRC), consisting of members of the BoM, oversees risk management and monitoring, including sustainability and climate risks, and serves as an escalation point based on analysis and deliberations within the Group ESG Board.",Governance a)
Does the company describe the board’s or a board committee’s oversight of climate-related risks or opportunities?,"All internal asset managers, the complete investment management function (Allianz Investment Management), and key insurance operating entities have well-established dedicated ESG functions and practice.",Governance a)
Does the company describe the board’s or a board committee’s oversight of climate-related risks or opportunities?,"Specifically for climate change, we have a Climate Contact Group (CCG), consisting of experts from across the Group, exchanging and developing proposals on climate integration into business.",Governance a)
Does the company describe management’s or a management committee’s role in assessing and managing climate-related risks or opportunities?,"The Group ESG Board is the highest governing body for sustainability issues, such as climate change, and oversees the Allianz Group Climate Change Strategy.",Governance b)
Does the company describe management’s or a management committee’s role in assessing and managing climate-related risks or opportunities?,"The Group Finance and Risk Committee (GFRC), consisting of members of the BoM, oversees risk management and monitoring, including sustainability and climate risks, and serves as an escalation point based on analysis and deliberations within the Group ESG Board.",Governance b)
Does the company describe management’s or a management committee’s role in assessing and managing climate-related risks or opportunities?,"The Allianz Group Corporate Responsibility department, and particularly the Group ESG Office, is responsible for steering the integration of ESG and climate aspects into core investment and insurance activities and acts as the Executive Office of the Group ESG Board.",Governance b)
Does the company describe management’s or a management committee’s role in assessing and managing climate-related risks or opportunities?,"All internal asset managers, the complete investment management function (Allianz Investment Management), and key insurance operating entities have well-established dedicated ESG functions and practice.",Governance b)
Does the company describe management’s or a management committee’s role in assessing and managing climate-related risks or opportunities?,"Specifically for climate change, we have a Climate Contact Group (CCG), consisting of experts from across the Group, exchanging and developing proposals on climate integration into business.",Governance b)
"Does the company disclose Scope 1 and Scope 2, and, if appropriate Scope 3 GHG emissions?","There are no sentences in the provided excerpts that disclose Scope 1 and Scope 2, and, if appropriate Scope 3 GHG emissions. The provided excerpts focus on other metrics and targets related to social impact investing, assets under management, and carbon footprint calculations.",Metrics and Targets b)
Does the company describe its processes for identifying and/or assessing climate-related risks?,"Our material risk category of Credit Risk incorporates the risks associated with lending to customers that could be impacted by climate change or by changes to laws, regulations, or other policies such as carbon pricing and climate change adaptation or mitigation policies.",Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,Climate change risk is included in the Group and Institutional Risk Appetite Statements to ensure the risk is appropriately identified and assessed.,Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,"Our Risk team is working with our bankers, encouraging them to talk with customers about managing the risks and opportunities associated with climate change.",Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,We continue to develop an organisational culture that encourages regular discussion and consideration of emerging climate-related risks.,Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,It also includes changes to the cost and level of insurance cover available to our customers.,Risk Management a)
Does the company describe its processes for managing climate-related risks?,We have disclosed our most material social and environmental risks in our 2019 Annual Report (see page 46) on anz.com/annualreport in accordance with the ASX Corporate Governance Principles and Recommendations.,Risk Management b)
Does the company describe its processes for managing climate-related risks?,"Under our risk management framework, our material risk category of Credit Risk incorporates the risks associated with lending to customers that could be impacted by climate change or by changes to laws, regulations, or other policies such as carbon pricing and climate change adaptation or mitigation policies.",Risk Management b)
Does the company describe its processes for managing climate-related risks?,We also specifically include climate change as one of our Principal Risks and Uncertainties (available on anz.com/annualreport).,Risk Management b)
Does the company describe its processes for managing climate-related risks?,"Our Risk team is working with our bankers, encouraging them to talk with customers about managing the risks and opportunities associated with climate change.",Risk Management b)
Does the company describe its processes for managing climate-related risks?,We continue to develop an organisational culture that encourages regular discussion and consideration of emerging climate-related risks.,Risk Management b)
"Does the company describe the resilience of its strategy, taking into consideration different climate-related scenarios, including a 2°C or lower scenario?","Our strategy needs to be resilient under a range of climate-related scenarios. This year we have undertaken climate-related scenario testing of a select group of customers in the thermal coal supply chain. We assessed these customers using two of the International Energy Agency’s scenarios; the ‘New Policies Scenario’ and the ‘450 Scenario’. Our reporting reflects the Financial Stability Board’s (FSB) Task Force on Climate-Related Disclosures (TCFD) recommendations. Using the FSB TCFD’s disclosure framework, we have begun discussions with some of our customers in emissions-intensive industries. The ESG Committee is responsible for reviewing and approving our climate change-related objectives, including goals and targets. The Board Risk Committee has formal responsibility for the overview of ANZ’s management of new and emerging risks, including climate change-related risks.",Strategy c)
Does the company describe the targets it uses to manage climate-related risks or opportunities?,"Using the FSB TCFD’s disclosure framework, we have begun discussions with some of our customers in emissions-intensive industries. Their public disclosures under the framework will enable us to better understand how they are managing their climate-related risks and opportunities.",Metrics and Targets c)
Does the company describe the targets it uses to manage climate-related risks or opportunities?,"The ESG Committee is responsible for reviewing and approving our climate change-related objectives, including goals and targets.",Metrics and Targets c)
Does the company describe the targets it uses to manage climate-related risks or opportunities?,"We have established Group-wide emissions reduction targets that cover the emissions arising from the energy we use across our building portfolio of commercial offices, branches and data centres.",Metrics and Targets c)
Does the company describe the targets it uses to manage climate-related risks or opportunities?,We assessed these customers using two of the International Energy Agency’s scenarios; the ‘New Policies Scenario’ and the ‘450 Scenario’. This provided us with a better understanding of the preparedness and resilience of these customers to climate change.,Metrics and Targets c)
Does the company describe the targets it uses to manage climate-related risks or opportunities?,Our Climate Change Statement sets out the actions we are taking to support the transition to a low carbon economy.,Metrics and Targets c)
"Does the company disclose Scope 1 and Scope 2, and, if appropriate Scope 3 GHG emissions?","There are no sentences in the provided excerpts that disclose Scope 1 and Scope 2, and, if appropriate, Scope 3 GHG emissions.",Metrics and Targets b)
Does the company describe management’s or a management committee’s role in assessing and managing climate-related risks or opportunities?,"The Committee considers the implications of climate change for the business and oversees the company’s strategic planning of resources and investments in response to the risks and opportunities that arise, as well as having oversight of policy and stakeholder trends.",Governance b)
Does the company describe management’s or a management committee’s role in assessing and managing climate-related risks or opportunities?,"It receives regular reports from senior management on stakeholder expectations, the company’s lowemissions technology strategy, climate-related policy engagement and carbon performance.",Governance b)
Does the company describe management’s or a management committee’s role in assessing and managing climate-related risks or opportunities?,"The chair of the ARCGS liaises closely with the chair of the Audit & Risk Committee, and provides a summary of its work on climate change to the full Board.",Governance b)
Does the company describe management’s or a management committee’s role in assessing and managing climate-related risks or opportunities?,The Group Management Committee regularly considers climate-related risks and group-level strategy.,Governance b)
Does the company describe management’s or a management committee’s role in assessing and managing climate-related risks or opportunities?,"The ARCGS oversees the implications of sustainable development issues for the company under five sustainability themes, of which one is climate change.",Governance b)
Does the company describe the climate-related risks or opportunities it has identified?,"As climate change progresses, the risk of physical damage and profit loss, such as that from floods and drought, is expected to increase in the future.",Strategy a)
Does the company describe the climate-related risks or opportunities it has identified?,"Understanding the management risks related to climate change is essential to formulating corporate management strategies and is, at the same time, important information for investors when making long-term investments.",Strategy a)
Does the company describe the climate-related risks or opportunities it has identified?,"Even for areas where reliable ground-based observation data cannot be acquired, we can still provide weather risk products by utilizing satellite observation data.",Strategy a)
Does the company describe the climate-related risks or opportunities it has identified?,"Given the understanding that there is a close relationship that exists between climate change and abnormal extreme weather, weather disasters are also expected to become more severe and frequent.",Strategy a)
Does the company describe the climate-related risks or opportunities it has identified?,"As such, it is now of utmost importance for companies to analyze the impact that climate change will have on their own business activities.",Strategy a)
"Does the company disclose Scope 1 and Scope 2, and, if appropriate Scope 3 GHG emissions?",Carbon Footprint (tonnes CO2e/DKKm)Carbon Intensity (tonnes CO2e/DKKm)WACI (tonnes CO2e/DKKm) Nordic equities 20.79 39.68 29.07 Scope 1 19.43 37.07 25.94 Scope 2 1.37 2.61 3.13 International equities 20.08 27.35 36.49 Scope 1 16.95 23.09 30.89 Scope 2 3.13 4.26 5.60 Corporate bonds 10.39 14.01 22.39 Scope 1 7.20 9.71 16.44 Scope 2 3.19 4.30 5.95,Metrics and Targets b)
"Does the company disclose Scope 1 and Scope 2, and, if appropriate Scope 3 GHG emissions?","One of the reasons for the decline in the carbon footprint of international equities when introducing the enterprise value is that the quantitative selection method for international equities includes a value factor, among other things.",Metrics and Targets b)
"Does the company disclose Scope 1 and Scope 2, and, if appropriate Scope 3 GHG emissions?","ATP therefore adjusts its calculation method, so it distributes emissions based on a company’s enterprise value rather than its market cap.",Metrics and Targets b)
"Does the company disclose Scope 1 and Scope 2, and, if appropriate Scope 3 GHG emissions?",ATP has also chosen to calculate the equity portfolios’ carbon footprint according to last year’s method with the market cap as the allocation key.,Metrics and Targets b)
"Does the company disclose Scope 1 and Scope 2, and, if appropriate Scope 3 GHG emissions?",The underlying companies in ATP’s corporate bond portfolio are distinguished by their lower emission levels – when adjusted for differences in the size of the companies’ enterprise value – relative to the companies in ATP’s two equity portfolios.,Metrics and Targets b)
"Does the company disclose Scope 1 and Scope 2, and, if appropriate Scope 3 GHG emissions?",It is important to keep in mind that the calculations are based on data material with limited coverage of companies and emissions.,Metrics and Targets b)
Does the company describe its processes for identifying and/or assessing climate-related risks?,"Taken together, the “policy risk” model combined with the “technology opportunities” model assess the downside costs  of climate change policy as well as the additional green revenues that are attainable by the most innovative companies in their field.",Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,"Forward-looking quantitative results are used, in the form of company-specific costs and revenues, to calculate a “Climate Value-at-Risk” (Climate VaR) per security in AXA’s portfolios.",Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,"A Dividend Discount Model (DDM) is also used to compute the impact that new, climate policy costs and revenues will have on future profits, which justify the current market value.",Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,The Climate VaR is the exact difference between the current market value of a security and the “new” present value after future climate change costs and/or revenues have been included in the DDM.,Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,"Since the payout profile of a bond is significantly different from equity, the effect of climate change onto the bond price, based on the change in default risk of the issuer, must be carefully modeled and cannot simply inherit the risk values from the associated equity.",Risk Management a)
Does the company describe management’s or a management committee’s role in assessing and managing climate-related risks or opportunities?,"Every year, the Board of Director’s Compensation & Governance Committee examines the Group Corporate Responsibility strategy, with a strong focus on ESG and climate.",Governance b)
Does the company describe management’s or a management committee’s role in assessing and managing climate-related risks or opportunities?,"Moreover, the AXA Stakeholder Advisory Panel, which meets twice a year in the presence of the CEO and Chairman of the Board, also assesses and provides feedback on AXA’s CR and RI strategy.",Governance b)
Does the company describe management’s or a management committee’s role in assessing and managing climate-related risks or opportunities?,"AXA created a Group-level Responsible Investment Committee (RIC), chaired by the Group Chief Investment Officer, and including representatives from AXA Asset Management entities, representatives of Corporate Responsibility (CR), Risk Management and Group Communication.",Governance b)
Does the company describe management’s or a management committee’s role in assessing and managing climate-related risks or opportunities?,"The RIC reports to the Group Investment Committee, chaired by the Group Chief Financial Officer.",Governance b)
Does the company describe management’s or a management committee’s role in assessing and managing climate-related risks or opportunities?,"AXA’s RI policy is supported by the RI Center of Expertise, a transversal working group from AXA’s local investment teams interacting with the CR network and the Group’s Asset Management entities.",Governance b)
"Does the company disclose Scope 1 and Scope 2, and, if appropriate Scope 3 GHG emissions?","Our dashboard also shows the fuel mix of our portfolios, not just the overall ‘carbon limit’.",Metrics and Targets b)
"Does the company disclose Scope 1 and Scope 2, and, if appropriate Scope 3 GHG emissions?",Note 1 Targets are from a baseline of 12 months to 31 December 2020: Power emissions intensity – 321 KgCO2/MWh; Energy absolute emissions – 75.0 MtCO2.,Metrics and Targets b)
"Does the company disclose Scope 1 and Scope 2, and, if appropriate Scope 3 GHG emissions?","Our climate dashboard shows our ‘carbon limit’ by sector, and tracks our financed emissions against that benchmark.",Metrics and Targets b)
"Does the company disclose Scope 1 and Scope 2, and, if appropriate Scope 3 GHG emissions?","Our near-term and medium targets for the Energy and Power sectors are: Energy portfolio absolute emissions will reduce by 15% by 2025, and continue to track our benchmark reduction on an ongoing basis; Power portfolio emissions intensity will reduce by 30% by 2025, on the way to alignment with our benchmark by 2035. ",Metrics and Targets b)
"Does the company disclose Scope 1 and Scope 2, and, if appropriate Scope 3 GHG emissions?",Our methodology and the data on which it draws are continuously improving; any changes to metrics as a result of methodology changes or new information that lead to materially different outcomes may result in metrics being restated.,Metrics and Targets b)
Does the company describe its processes for identifying and/or assessing climate-related risks?,"Disclose how processes for identifying, assessing, and managing climate-related risks are integrated into the organization’s overall risk management.",Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,Disclose the metrics used by the organization to assess climate-related risks and opportunities in line with its strategy and risk management process.,Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,"Disclose Scope 1, Scope 2, and, if appropriate, Scope 3 greenhouse gas (GHG) emissions, and the related risks.",Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,"Describe the impact of climate-related risks and opportunities on the organization’s businesses, strategy, and financial planning.",Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,"Describe the resilience of the organization’s strategy, taking into consideration different climate-related scenarios, including a 2°C or lower scenario.",Risk Management a)
Does the company describe its processes for managing climate-related risks?,"Disclose how processes for identifying, assessing, and managing climate-related risks are integrated into the organization’s overall risk management.",Risk Management b)
Does the company describe its processes for managing climate-related risks?,Disclose the metrics used by the organization to assess climate-related risks and opportunities in line with its strategy and risk management process.,Risk Management b)
Does the company describe its processes for managing climate-related risks?,"Describe the resilience of the organization’s strategy, taking into consideration different climate-related scenarios, including a 2°C or lower scenario.",Risk Management b)
Does the company describe its processes for managing climate-related risks?,Describe the organization’s processes for identifying and assessing climate-related risks.,Risk Management b)
Does the company describe its processes for managing climate-related risks?,"Climate-related risks are identified, assessed and managed as part of the general risk management process.",Risk Management b)
"Does the company describe how processes for identifying, assessing, and managing climate-related risks are integrated into overall risk management?","Climate-related risks are identified, assessed and managed as part of the general risk management process.",Risk Management c)
"Does the company describe how processes for identifying, assessing, and managing climate-related risks are integrated into overall risk management?","Describe how processes for identifying, assessing, and managing climate-related risks are integrated into the organization’s overall risk management.",Risk Management c)
"Does the company describe how processes for identifying, assessing, and managing climate-related risks are integrated into overall risk management?","Disclose how the organization identifies, assesses, and manages climate-related risks.",Risk Management c)
"Does the company describe how processes for identifying, assessing, and managing climate-related risks are integrated into overall risk management?",Describe management’s role in assessing and managing climate-related risks and opportunities.,Risk Management c)
"Does the company describe how processes for identifying, assessing, and managing climate-related risks are integrated into overall risk management?",The board’s oversight of climate-related risks and opportunities.,Risk Management c)
Does the company disclose the metrics it uses to assess climate-related risks or opportunities?,"By the end of the 2020 business year, we had evaluated 98.4%1 of the relevant portfolio.2 This refers to the BASF Group’s sales from products in its strategic portfolio to third parties in the business year concerned.",Metrics and Targets a)
Does the company disclose the metrics it uses to assess climate-related risks or opportunities?,"A significant steering tool for the product portfolio, based on the sustainability performance of our products, is the Sustainable Solution Steering method.",Metrics and Targets a)
Does the company disclose the metrics it uses to assess climate-related risks or opportunities?,Transparently classifying our products on the basis of their contribution to sustainability enables us to systematically improve them.,Metrics and Targets a)
Does the company disclose the metrics it uses to assess climate-related risks or opportunities?,Accelerator products make a substantial sustainability contribution in the value chain.,Metrics and Targets a)
Does the company disclose the metrics it uses to assess climate-related risks or opportunities?,We aim to make sustainability an even greater part of our innovation power and achieve €22 billion in Accelerator sales by 2025.,Metrics and Targets a)
Does the company disclose the metrics it uses to assess climate-related risks or opportunities?,"This Report aligns with the Task Force on Climate-related Financial Disclosures (TCFD) recommendations and we have structured the Report to address the TCFD’s themes of Governance, Strategy, Risk Management, and Metrics and Targets.",Metrics and Targets a)
Does the company disclose the metrics it uses to assess climate-related risks or opportunities?,"We have previously published two climate-related portfolio analysis reports: Climate Change: Portfolio Analysis (2015) and Climate Change: Portfolio Analysis – Views after Paris (2016), which are available online at bhp.com/climate.",Metrics and Targets a)
Does the company disclose the metrics it uses to assess climate-related risks or opportunities?,We constantly evolve our approach so we can deliver them sustainably into the future.,Metrics and Targets a)
Does the company disclose the metrics it uses to assess climate-related risks or opportunities?,"The IPCC states that limiting global warming to 2°C may avoid some material climate change impacts, but the consequences will be significantly worse than if global warming can be limited to 1.5°C.",Metrics and Targets a)
Does the company disclose the metrics it uses to assess climate-related risks or opportunities?,"The focus for this Report is on climate change, energy, greenhouse gas (GHG) emissions and the risks and opportunities linked to the transition to a low carbon future.",Metrics and Targets a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,"Our Risk Framework requires identification and management of risks to be embedded in business activities through the following processes: Risk identification, Risk assessments, Risk treatment, Monitoring and review.",Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,Current material risks are required to be evaluated once a year at a minimum to determine whether the risk exposure is within our risk appetite.,Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,"Strategy risks inform, are created, or are affected by business strategy decisions or pursuit of strategic objectives. The Risk Appetite Statement and KRIs are available to assist in determining whether a proposed course of action is within BHP’s appetite.",Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,Emerging risks are identified and initially monitored by subject matter experts. Ongoing management is handed over to risk owners when the impact and our response is defined.,Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,BHP has a dedicated climate change team that monitors and manages the emerging risks relating to climate change as they evolve.,Risk Management a)
Does the company describe its processes for managing climate-related risks?,"Our Risk Framework requires identification and management of risks to be embedded in business activities through the following processes: Risk identification, Risk assessments, Risk treatment, Monitoring and review.",Risk Management b)
Does the company describe its processes for managing climate-related risks?,"Our Risk Framework includes requirements and guidance on the tools and process to manage all risk types (current, strategy and emerging).",Risk Management b)
Does the company describe its processes for managing climate-related risks?,Our focus for current risks is to prevent their occurrence or minimise their impact should they occur.,Risk Management b)
Does the company describe its processes for managing climate-related risks?,"Our focus for emerging risks is on reducing the impact should an event occur, and on advocacy efforts to reduce the likelihood of the risk manifesting.",Risk Management b)
Does the company describe its processes for managing climate-related risks?,BHP has a dedicated climate change team that monitors and manages the emerging risks relating to climate change as they evolve.,Risk Management b)
"Does the company describe how processes for identifying, assessing, and managing climate-related risks are integrated into overall risk management?",Our Risk Framework requires identification and management of risks to be embedded in business activities through the following processes:,Risk Management c)
"Does the company describe how processes for identifying, assessing, and managing climate-related risks are integrated into overall risk management?","Our Risk Framework includes requirements and guidance on the tools and process to manage all risk types (current, strategy and emerging).",Risk Management c)
"Does the company describe how processes for identifying, assessing, and managing climate-related risks are integrated into overall risk management?","Once a decision has been made, our risk process as described above applies.",Risk Management c)
"Does the company describe how processes for identifying, assessing, and managing climate-related risks are integrated into overall risk management?","Describe how processes for identifying, assessing, and managing climate-related risks are integrated into the organisation’s overall risk management.",Risk Management c)
"Does the company describe how processes for identifying, assessing, and managing climate-related risks are integrated into overall risk management?","For example, BHP has a dedicated climate change team that monitors and manages the emerging risks relating to climate change as they evolve.",Risk Management c)
Does the company describe its processes for managing climate-related risks?,The ESG group and ES group work in partnership with the lines of business and Corporate Support areas to manage environmental and social risk within our business.,Risk Management b)
Does the company describe its processes for managing climate-related risks?,"As part of our enterprise risk management framework and credit risk management framework, we evaluate the environmental and social risk associated with credit and counterparty transactions and exposures.",Risk Management b)
Does the company describe its processes for managing climate-related risks?,We have developed and implemented specific financing guidelines to address environmental and social risk for specific lines of business.,Risk Management b)
Does the company describe its processes for managing climate-related risks?,"To assess exposure to clients’ environmental risks, we apply enhanced due diligence to transactions with clients operating in environmentally sensitive industry sectors, and we avoid doing business with borrowers that have poor environmental and social risk management track records.",Risk Management b)
Does the company describe its processes for managing climate-related risks?,"We expect our suppliers to be aware of, understand and respect the principles of our Supplier Code of Conduct, which outlines our standards for integrity, fair dealing and sustainability.",Risk Management b)
Does the company describe its processes for managing climate-related risks?,"Maintain quality as a management requirement at BRF, at all levels and instances, from the field to the table, reinforcing this message in the markets where we operate.",Risk Management b)
